,STATION,LINENAME,DATE,WEEKLY ENTRIES
134,125 ST,ACBD,2016-01-02,173358
135,GUN HILL RD,5,2016-01-02,34093
136,ALLERTON AV,25,2016-01-02,34300
137,MYRTLE AV,JMZ,2016-01-02,69363
138,145 ST,3,2016-01-02,22884
139,BURKE AV,25,2016-01-02,21592
140,20 AV,N,2016-01-02,22982
141,ROCKAWAY PARK B,AS,2016-01-02,3758
142,BRIGHTON BEACH,BQ,2016-01-02,72494
143,ST LAWRENCE AV,6,2016-01-02,25478
144,ZEREGA AV,6,2016-01-02,14934
145,WHITEHALL S-FRY,R1,2016-01-02,90348
146,THIRTY ST,1,2016-01-02,53000
147,LEXINGTON AV/63,F,2016-01-02,76337
148,23 ST,6,2016-01-02,135731
149,125 ST,23,2016-01-02,84190
150,BAY PKWY,F,2016-01-02,9282
151,CHURCH AV,25,2016-01-02,57291
152,FRANKLIN AV,2345S,2016-01-02,64166
153,GROVE STREET,1,2016-01-02,104115
154,CLARK ST,23,2016-01-02,34368
155,CENTRAL PK N110,23,2016-01-02,61804
156,E 180 ST,25,2016-01-02,44093
157,FT HAMILTON PKY,FG,2016-01-02,36466
158,DEKALB AV,BDNQR,2016-01-02,99344
159,50 ST,1,2016-01-02,160088
160,SUTTER AV-RUTLD,3,2016-01-02,47988
161,RECTOR ST,R,2016-01-02,33526
162,MARBLE HILL-225,1,2016-01-02,35854
163,103 ST,6,2016-01-02,87980
164,50 ST,CE,2016-01-02,129639
165,EASTN PKWY-MUSM,23,2016-01-02,31872
166,MYRTLE-WYCKOFF,LM,2016-01-02,120847
167,167 ST,BD,2016-01-02,63646
168,157 ST,1,2016-01-02,66850
169,CANAL ST,1,2016-01-02,33449
170,14 ST-UNION SQ,LNQR456,2016-01-02,400944
171,82 ST-JACKSON H,7,2016-01-02,85161
172,BROAD CHANNEL,AS,2016-01-02,1806
173,AQUEDUCT N.COND,A,2016-01-02,6466
174,ROCKAWAY AV,C,2016-01-02,34650
175,SUTPHIN BLVD,F,2016-01-02,27214
176,NEWKIRK AV,25,2016-01-02,46947
177,FULTON ST,ACJZ2345,2016-01-02,191571
178,CORTLANDT ST,R,2016-01-02,46910
179,CORTELYOU RD,BQ,2016-01-02,39130
180,59 ST COLUMBUS,ABCD1,2016-01-02,306521
181,METROPOLITAN AV,GL,2016-01-02,56463
182,WOODHAVEN BLVD,MR,2016-01-02,137622
183,STEINWAY ST,MR,2016-01-02,92225
184,WAKEFIELD/241,2,2016-01-02,31460
185,WESTCHESTER SQ,6,2016-01-02,38646
186,NEWARK BM BW,1,2016-01-02,80864
187,88 ST,A,2016-01-02,18409
188,155 ST,BD,2016-01-02,24855
189,SUTPHIN-ARCHER,E,2016-01-02,62649
190,155 ST,C,2016-01-02,16242
191,WINTHROP ST,25,2016-01-02,42365
192,18 ST,1,2016-01-02,51939
193,HARRISON,1,2016-01-02,45140
194,4 AV-9 ST,DFGMNR,2016-01-02,22311
195,ASTORIA BLVD,NQ,2016-01-02,74158
196,NEWARK HM HE,1,2016-01-02,473
197,HEWES ST,JM,2016-01-02,17809
198,PAVONIA/NEWPORT,1,2016-01-02,98892
199,TOMPKINSVILLE,1,2016-01-02,4447
200,149/GRAND CONC,245,2016-01-02,80302
201,BAY PKWY,N,2016-01-02,37433
202,CYPRESS AV,6,2016-01-02,24296
203,MYRTLE-WILLOUGH,G,2016-01-02,36217
204,MONTROSE AV,L,2016-01-02,43573
205,ATL AV-BARCLAY,2345BDNQR,2016-01-02,131418
206,103 ST,BC,2016-01-02,27192
207,57 ST,F,2016-01-02,90382
208,85 ST-FOREST PK,J,2016-01-02,23087
209,36 ST,MR,2016-01-02,26922
210,3 AV-149 ST,25,2016-01-02,127937
211,JAMAICA CENTER,EJZ,2016-01-02,233026
212,59 ST,NQR456,2016-01-02,105667
213,BROADWAY JCT,ACJLZ,2016-01-02,66968
214,DELANCEY/ESSEX,FJMZ,2016-01-02,151457
215,NEREID AV,25,2016-01-02,22718
216,LIVONIA AV,L,2016-01-02,19695
217,PELHAM BAY PARK,6,2016-01-02,42681
218,RIT-MANHATTAN,R,2016-01-02,23508
219,145 ST,ABCD,2016-01-02,139013
220,FRANKLIN AV,ACS,2016-01-02,38453
221,170 ST,4,2016-01-02,57132
222,231 ST,1,2016-01-02,58624
223,ELDER AV,6,2016-01-02,40410
224,SIMPSON ST,25,2016-01-02,59282
225,BEACH 44 ST,A,2016-01-02,3885
226,BROADWAY,NQ,2016-01-02,78944
227,JAY ST-METROTEC,R,2016-01-02,17510
228,86 ST,456,2016-01-02,417169
229,NEWKIRK PLAZA,BQ,2016-01-02,63543
230,HUNTS POINT AV,6,2016-01-02,62251
231,CITY HALL,R,2016-01-02,31626
232,72 ST,BC,2016-01-02,53170
233,34 ST-PENN STA,ACE,2016-01-02,491060
234,BOWLING GREEN,45,2016-01-02,185911
235,JACKSON AV,25,2016-01-02,35180
236,57 ST-7 AV,NQR,2016-01-02,131824
237,74 ST-BROADWAY,7EFMR,2016-01-02,21676
238,SUTPHIN-ARCHER,EJZ,2016-01-02,148660
239,HIGH ST,AC,2016-01-02,48764
240,PARSONS BLVD,F,2016-01-02,40881
241,MOSHOLU PKWY,4,2016-01-02,54431
242,FLUSHING-MAIN,7,2016-01-02,360078
243,FT HAMILTON PKY,D,2016-01-02,26218
244,BEACH 105 ST,AS,2016-01-02,1559
245,MIDDLETOWN RD,6,2016-01-02,12060
246,104 ST,JZ,2016-01-02,13308
247,NEW UTRECHT AV,ND,2016-01-02,35819
248,28 ST,NR,2016-01-02,74090
249,SMITH-9 ST,FG,2016-01-02,30181
250,FOREST HILLS 71,EFMR,2016-01-02,166138
251,81 ST-MUSEUM,BC,2016-01-02,85515
252,23 ST,CE,2016-01-02,141046
253,PARKCHESTER,6,2016-01-02,98937
254,EXCHANGE PLACE,1,2016-01-02,87217
255,14 ST,FLM123,2016-01-02,110515
256,NECK RD,BQ,2016-01-02,24601
257,BEACH 90 ST,AS,2016-01-02,4724
258,67 AV,MR,2016-01-02,56902
259,233 ST,25,2016-01-02,33565
260,103 ST,1,2016-01-02,81249
261,SUTTER AV,L,2016-01-02,28490
262,GRANT AV,A,2016-01-02,40233
263,NEWARK HW BMEBE,1,2016-01-02,27728
264,238 ST,1,2016-01-02,24644
265,TWENTY THIRD ST,1,2016-01-02,50793
266,CHAMBERS ST,123,2016-01-02,124226
267,96 ST,6,2016-01-02,139236
268,HUNTERS PT AV,7,2016-01-02,38047
269,CROWN HTS-UTICA,34,2016-01-02,167811
270,TIMES SQ-42 ST,1237ACENQRS,2016-01-02,500898
271,CITY / BUS,1,2016-01-02,90061
272,COURT SQ,EMG,2016-01-02,54910
273,QUEENSBORO PLZ,7NQ,2016-01-02,70545
274,FT HAMILTON PKY,N,2016-01-02,36902
275,BEDFORD PK BLVD,4,2016-01-02,33268
276,CASTLE HILL AV,6,2016-01-02,41755
277,65 ST,MR,2016-01-02,23068
278,HALSEY ST,L,2016-01-02,47339
279,215 ST,1,2016-01-02,11624
280,ALABAMA AV,J,2016-01-02,15959
281,KINGS HWY,F,2016-01-02,22737
282,FOREST AVE,M,2016-01-02,25328
283,SOUTH FERRY,1R,2016-01-02,72817
284,86 ST,1,2016-01-02,122823
285,23 ST,1,2016-01-02,87942
286,NEW LOTS AV,3,2016-01-02,46474
287,NASSAU ST,G,2016-01-02,54012
288,WALL ST,23,2016-01-02,152403
289,PATH WTC,1,2016-01-02,268063
290,EAST BROADWAY,F,2016-01-02,89281
291,BRIARWOOD,EF,2016-01-02,29410
292,34 ST-HUDSON YD,7,2016-01-02,39304
293,FRESH POND RD,M,2016-01-02,35337
294,VAN SICLEN AVE,C,2016-01-02,19690
295,DITMAS AV,F,2016-01-02,21925
296,SHEEPSHEAD BAY,BQ,2016-01-02,82290
297,90 ST-ELMHURST,7,2016-01-02,96374
298,AVENUE M,BQ,2016-01-02,36596
299,SPRING ST,CE,2016-01-02,72806
300,HARLEM 148 ST,3,2016-01-02,25687
301,AVENUE U,N,2016-01-02,23137
302,168 ST,AC1,2016-01-02,66311
303,BEACH 98 ST,AS,2016-01-02,3122
304,FULTON ST,2345ACJZ,2016-01-02,232804
305,FULTON ST,G,2016-01-02,34282
306,W 8 ST-AQUARIUM,FQ,2016-01-02,12052
307,AVENUE I,F,2016-01-02,13504
308,111 ST,A,2016-01-02,2735
309,ROCKAWAY BLVD,A,2016-01-02,38983
310,NEPTUNE AV,F,2016-01-02,10370
311,QUEENS PLAZA,EMR,2016-01-02,58932
312,GRD CNTRL-42 ST,4567S,2016-01-02,890642
313,SHEPHERD AV,C,2016-01-02,20569
314,96 ST,BC,2016-01-02,59947
315,33 ST-RAWSON ST,7,2016-01-02,71289
316,181 ST,1,2016-01-02,71035
317,RIT-ROOSEVELT,R,2016-01-02,24308
318,ASTORIA DITMARS,NQ,2016-01-02,103935
319,RALPH AV,C,2016-01-02,35985
320,CLINTON-WASH AV,C,2016-01-02,34695
321,BLEECKER ST,6DF,2016-01-02,88925
322,BEACH 60 ST,A,2016-01-02,15364
323,52 ST,7,2016-01-02,40032
324,WORLD TRADE CTR,ACE23,2016-01-02,86992
325,103 ST-CORONA,7,2016-01-02,110977
326,STERLING ST,25,2016-01-02,35250
327,LORIMER ST,JM,2016-01-02,30900
328,46 ST,MR,2016-01-02,56075
329,176 ST,4,2016-01-02,37643
330,9TH STREET,1,2016-01-02,25811
331,36 ST,DNR,2016-01-02,81193
332,FREEMAN ST,25,2016-01-02,30776
333,NEWARK C,1,2016-01-02,28704
334,BERGEN ST,FG,2016-01-02,71791
335,BROOKLYN BRIDGE,456JZ,2016-01-02,112067
336,BUSHWICK AV,L,2016-01-02,12181
337,86 ST,BC,2016-01-02,68504
338,E 143/ST MARY'S,6,2016-01-02,6448
339,86 ST,N,2016-01-02,16945
340,183 ST,4,2016-01-02,39545
341,72 ST,123,2016-01-02,246242
342,NORWOOD 205 ST,D,2016-01-02,52852
343,ELMHURST AV,MR,2016-01-02,84123
344,59 ST,NR,2016-01-02,79232
345,LIBERTY AV,C,2016-01-02,17509
346,UNION ST,R,2016-01-02,39262
347,ATLANTIC AV,L,2016-01-02,0
348,AVENUE J,BQ,2016-01-02,37211
349,2 AV,F,2016-01-02,108209
350,5 AVE,7BDFM,2016-01-02,76334
351,AVENUE U,F,2016-01-02,14496
352,167 ST,4,2016-01-02,59542
353,96 ST,123,2016-01-02,236065
354,HOYT-SCHER,ACG,2016-01-02,57906
355,34 ST-PENN STA,123ACE,2016-01-02,326076
356,CLEVELAND ST,J,2016-01-02,20422
357,PARK PLACE,S,2016-01-02,11366
358,169 ST,F,2016-01-02,50782
359,111 ST,7,2016-01-02,67068
360,14 ST,ACEL,2016-01-02,119370
361,GATES AV,JZ,2016-01-02,35228
362,NEVINS ST,2345,2016-01-02,58338
363,VAN SICLEN AV,JZ,2016-01-02,17611
364,WILSON AV,L,2016-01-02,27184
365,61 ST WOODSIDE,7,2016-01-02,100080
366,28 ST,6,2016-01-02,132581
367,DYCKMAN ST,1,2016-01-02,44411
368,42 ST-BRYANT PK,BDFM7,2016-01-02,228333
369,NORTHERN BLVD,MR,2016-01-02,44098
370,77 ST,R,2016-01-02,32825
371,COURT SQ,7,2016-01-02,26061
372,5 AV/53 ST,EM,2016-01-02,154305
373,CLINTON-WASH AV,G,2016-01-02,29526
374,HALSEY ST,J,2016-01-02,39113
375,42 ST-PORT AUTH,ACENGRS1237,2016-01-02,87842
376,CHRISTOPHER ST,1,2016-01-02,88146
377,KINGS HWY,BQ,2016-01-02,114785
378,7 AV,FG,2016-01-02,71568
379,182-183 STS,BD,2016-01-02,31801
380,5 AV/59 ST,NQR,2016-01-02,102932
381,181 ST,A,2016-01-02,68235
382,NOSTRAND AV,3,2016-01-02,26993
383,69 ST,7,2016-01-02,30949
384,8 AV,N,2016-01-02,65178
385,AVENUE X,F,2016-01-02,11544
386,7 AV,BDE,2016-01-02,101072
387,CARROLL ST,FG,2016-01-02,71632
388,ATL AV-BARCLAY,BDNQR2345,2016-01-02,148217
389,JKSN HT-ROOSVLT,EFMR7,2016-01-02,307229
390,21 ST-QNSBRIDGE,F,2016-01-02,55502
391,GRAND ST,BD,2016-01-02,153494
392,CHAUNCEY ST,JZ,2016-01-02,19977
393,PATH WTC 2,1,2016-01-02,3983
394,18 AV,F,2016-01-02,25636
395,BEDFORD PK BLVD,BD,2016-01-02,43256
396,JUNIUS ST,3,2016-01-02,20499
397,68ST-HUNTER CO,6,2016-01-02,161850
398,14 ST,123FLM,2016-01-02,131150
399,79 ST,1,2016-01-02,102056
400,TIMES SQ-42 ST,ACENQRS1237,2016-01-02,68811
401,6 AV,FLM123,2016-01-02,38585
402,PROSPECT AV,R,2016-01-02,35078
403,BRONX PARK EAST,25,2016-01-02,17057
404,3 AV,L,2016-01-02,45209
405,9 AV,D,2016-01-02,34810
406,WEST FARMS SQ,25,2016-01-02,47385
407,BERGEN ST,23,2016-01-02,24366
408,18 AV,D,2016-01-02,37966
409,OZONE PK LEFFRT,A,2016-01-02,41766
410,FORDHAM RD,4,2016-01-02,69091
411,BOTANIC GARDEN,S2345,2016-01-02,9972
412,PRESIDENT ST,25,2016-01-02,24066
413,168 ST,1AC,2016-01-02,83217
414,GRAND-NEWTOWN,MR,2016-01-02,104421
415,AVENUE H,BQ,2016-01-02,16671
416,AQUEDUCT RACETR,A,2016-01-02,11207
417,JAMAICA VAN WK,E,2016-01-02,30274
418,W 4 ST-WASH SQ,ABCDEFM,2016-01-02,232960
419,ASTOR PL,6,2016-01-02,95453
420,CANAL ST,JNQRZ6,2016-01-02,270129
421,FLATBUSH AV-B.C,25,2016-01-02,111502
422,AVENUE P,F,2016-01-02,17222
423,DEKALB AV,L,2016-01-02,75103
424,DYCKMAN ST,A,2016-01-02,40979
425,25 AV,D,2016-01-02,26616
426,MARCY AV,JMZ,2016-01-02,75796
427,CRESCENT ST,JZ,2016-01-02,29520
428,BEDFORD-NOSTRAN,G,2016-01-02,51354
429,191 ST,1,2016-01-02,52203
430,71 ST,D,2016-01-02,32326
431,14 ST-UNION SQ,456LNQR,2016-01-02,205865
432,20 AV,D,2016-01-02,31327
433,THIRTY THIRD ST,1,2016-01-02,132396
434,80 ST,A,2016-01-02,7794
435,JOURNAL SQUARE,1,2016-01-02,114383
436,63 DR-REGO PARK,MR,2016-01-02,100855
437,BAY 50 ST,D,2016-01-02,14625
438,33 ST,6,2016-01-02,192975
439,KNICKERBOCKER,M,2016-01-02,24248
440,WHITLOCK AV,6,2016-01-02,10464
441,18 AV,N,2016-01-02,27743
442,KINGS HWY,N,2016-01-02,33461
443,BOROUGH HALL,R2345,2016-01-02,13276
444,HOUSTON ST,1,2016-01-02,79121
